,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj
Dapma7bEVm000001,-0.047306915,0.857454548,0.973462762,0.261794976,0.316584583,0.941696037,-0.18577155,0.483260146,0.997835001
Dapma7bEVm000002,0.366275978,0.028844622,0.261971963,0.388190941,0.020463888,0.471954836,0.155734694,0.353310104,0.997835001
Dapma7bEVm000003,0.2635353,0.452546645,0.851767166,0.20514096,0.558161696,0.971159653,0.133203943,0.705047164,0.998544574
Dapma7bEVm000004,-0.054316345,0.909615729,0.983909459,0.243816111,0.609707131,0.979705803,0.069255199,0.884950117,0.998544574
Dapma7bEVm000005,-0.29990006,0.182387081,0.636373126,-0.07774452,0.728991897,0.994284703,-0.292957705,0.19326455,0.980744892
Dapma7bEVm000006,0.039108752,0.872686528,0.976136843,0.032252517,0.894742823,0.996018607,0.015290303,0.950109043,0.998544574
Dapma7bEVm000007,-7.018317741,0.003408865,NA,-1.138905998,0.601077407,0.978236066,-2.900336791,0.189779436,0.974950723
Dapma7bEVm000008,0.111864527,0.491392808,0.871582063,0.062058034,0.702392052,0.992113972,-0.136425627,0.402690394,0.997835001
Dapma7bEVm000009,-0.094166788,0.620584015,0.915439413,0.062155673,0.743537929,0.995280907,-0.166180358,0.382890416,0.997835001
Dapma7bEVm000010,0.297096502,0.11254895,0.53203952,0.150866524,0.420099902,0.952985701,0.128849771,0.492398151,0.997835001
Dapma7bEVm000011,0.364606973,0.066000589,0.410516364,0.225949009,0.254542738,0.912207881,-0.088727668,0.654853523,0.997835001
Dapma7bEVm000012,0.240903897,0.417308723,0.831594512,0.252131128,0.395675706,0.952985701,-0.030666216,0.917875227,0.998544574
Dapma7bEVm000013,0.147245863,0.436757253,0.842048136,0.11928082,0.528703664,0.969618438,-0.362503935,0.055553184,0.791053038
Dapma7bEVm000014,0.173879065,0.558559276,0.896797781,0.353337633,0.233680517,0.906192043,0.227649034,0.44411507,0.997835001
Dapma7bEVm000015,-0.220752394,0.191569374,0.645390091,-0.195837295,0.244595958,0.908193465,-0.307607908,0.070288729,0.842554623
Dapma7bEVm000016,0.191202742,0.133982632,0.571846229,0.239079113,0.06057498,0.720307171,0.096349578,0.450999348,0.997835001
Dapma7bEVm000017,0.105383585,0.636158918,0.919230007,0.122113698,0.582939222,0.97306878,-0.226020318,0.312464918,0.997835001
Dapma7bEVm000018,-0.098688284,0.621519754,0.91570864,-0.013113866,0.947608538,0.997211633,-0.2788287,0.164081138,0.956380318
Dapma7bEVm000019,0.151639705,0.409530839,0.825535973,0.148753884,0.417759429,0.952985701,-0.079955357,0.664811397,0.998387735
Dapma7bEVm000020,-0.057149241,0.87486307,0.976136843,-0.123247011,0.733691278,0.995017073,0.003611467,0.992071677,0.9993904
Dapma7bEVm000021,0.534815011,0.000363525,0.011500373,0.188539432,0.209117717,0.884141008,0.010892358,0.94247083,0.998544574
Dapma7bEVm000022,0.203586103,0.269261158,0.724213796,0.284620464,0.122100955,0.820673033,-0.138266396,0.454086599,0.997835001
Dapma7bEVm000023,-0.092305111,0.742922,0.950272967,0.217972707,0.43644634,0.954579575,0.238807561,0.395539947,0.997835001
Dapma7bEVm000024,-0.686126901,0.168889658,NA,-1.110549053,0.026478939,0.532083325,-0.181257015,0.714824448,0.998544574
Dapma7bEVm000025,-0.038616661,0.872378168,0.976136843,0.099563533,0.677922742,0.98763587,0.066090777,0.78354944,0.998544574
Dapma7bEVm000026,0.207260578,0.555700483,0.8962249,0.493316985,0.158807388,0.853317883,0.112268988,0.750423629,0.998544574
Dapma7bEVm000027,0.04132998,0.915661671,0.98486372,0.195379091,0.615641953,0.980781759,-0.011299717,0.976953999,0.998544574
Dapma7bEVm000028,0.478798245,0.105937584,0.520813886,0.204564005,0.48980202,0.963491875,-0.380297794,0.20287384,0.986497866
Dapma7bEVm000029,0.003480092,0.981492757,0.997379177,-0.070961632,0.635881915,0.984106412,-0.130019491,0.387193997,0.997835001
Dapma7bEVm000030,-0.359230922,0.087567973,0.474163997,0.042899803,0.835716932,0.995987636,-0.631379634,0.003131611,0.256344705
Dapma7bEVm000031,0.305071965,0.174016211,0.625037437,0.360607534,0.107624376,0.803593561,-0.006130071,0.978272496,0.998544574
Dapma7bEVm000032,0.474076353,6.46E-06,0.000387055,0.151456929,0.150016969,0.847729028,0.192564342,0.069313928,0.837202371
Dapma7bEVm000033,0.071284298,0.806400481,0.961784623,0.21419548,0.459814505,0.959980398,-0.253805196,0.386162071,0.997835001
Dapma7bEVm000034,-0.123754227,0.558786536,0.896797781,-0.109924373,0.602949927,0.97945564,-0.430782859,0.042710915,0.731325246
Dapma7bEVm000035,-0.153419041,0.494595619,0.873453884,-0.161531366,0.471720327,0.959980398,-0.456712503,0.042468502,0.731325246
Dapma7bEVm000036,-0.307938204,0.387361002,0.812732279,-0.601291475,0.091553843,0.786523202,-0.314603266,0.377998214,0.997835001
Dapma7bEVm000037,0.414768553,0.431436255,0.837864566,0.334210975,0.526011912,0.969243458,-0.100649713,0.848842652,0.998544574
Dapma7bEVm000038,0.743546609,0.016169362,0.185196871,0.188882649,0.54172804,0.971159653,0.56184457,0.069608149,0.839340691
Dapma7bEVm000039,0.249240318,0.441323298,0.844538175,0.334133031,0.301793469,0.934156671,-0.019319194,0.952443372,0.998544574
Dapma7bEVm000040,-0.11562722,0.664067825,0.930033312,-0.260863649,0.326897185,0.941696037,-0.502638574,0.060143254,0.809997037
Dapma7bEVm000041,-0.107232991,0.515173867,0.882062464,0.139812609,0.39389433,0.952985701,-0.408985635,0.013684117,0.500063719
Dapma7bEVm000042,0.444561935,0.271799701,NA,0.372568161,0.355631837,0.947009914,-0.09177071,0.823424004,0.998544574
Dapma7bEVm000043,0.460939948,0.00024039,0.008453391,0.23168192,0.064903967,0.725646985,0.131508782,0.296207994,0.997835001
Dapma7bEVm000044,0.063409286,0.836075183,0.967021886,0.183772204,0.548143364,0.971159653,-0.29393379,0.338958559,0.997835001
Dapma7bEVm000045,0.296428587,0.118402782,0.542892067,0.258931441,0.172424361,0.86392059,-0.095167704,0.61661804,0.997835001
Dapma7bEVm000046,1.580039384,0.004571329,0.081384961,1.323389523,0.017550356,0.438097548,1.437305121,0.010094021,0.454041982
Dapma7bEVm000047,0.61020454,0.107198526,0.524890365,0.380507338,0.315038054,0.941696037,0.525048742,0.167113642,0.956966695
Dapma7bEVm000048,0.232561234,0.268764499,0.723272021,0.179085175,0.394392421,0.952985701,-0.087441132,0.677629895,0.998544574
Dapma7bEVm000049,-0.03400049,0.90933444,0.983907957,-0.011614921,0.968897541,0.999117826,-0.460053936,0.126091586,0.932704674
Dapma7bEVm000050,1.363892032,0.20476645,0.662356197,2.826913226,0.008519498,0.318647033,1.845894363,0.086047811,0.873293134
Dapma7bEVm000051,0.057253015,0.879652001,0.976245923,-0.212678868,0.573894496,0.971464427,-0.414307102,0.276978631,0.997835001
Dapma7bEVm000052,0.139875262,0.662956168,0.930033312,0.088678676,0.782195342,0.995280907,-0.316646159,0.325027483,0.997835001
Dapma7bEVm000053,-0.151703942,0.282769783,0.737696926,-0.104264443,0.458095559,0.959260602,-0.11645902,0.411109607,0.997835001
Dapma7bEVm000054,-0.113575977,0.477696909,0.86443172,0.008923048,0.95532338,0.998126384,0.100905267,0.528100068,0.997835001
Dapma7bEVm000055,0.241145916,0.162784859,0.610637509,0.149221515,0.387710655,0.952985701,-0.139704874,0.418938934,0.997835001
Dapma7bEVm000056,0.187231941,0.277828399,0.731362215,0.163075031,0.343895468,0.943571883,-0.193741824,0.26376448,0.997835001
Dapma7bEVm000057,-0.864157855,0.013285833,0.164334941,0.21565877,0.531324621,0.969618438,-0.831356555,0.017509311,0.548842176
Dapma7bEVm000058,0.453920725,0.000830452,0.022578748,0.370449967,0.006354932,0.276700296,0.05597971,0.680784773,0.998544574
Dapma7bEVm000059,0.081443073,0.810134591,0.961784623,0.381746136,0.259575397,0.918600963,-0.222876994,0.511519925,0.997835001
Dapma7bEVm000060,-0.380908085,5.78E-05,0.002588411,-0.05031108,0.59315962,0.976892568,-0.15432492,0.103133739,0.901770852
Dapma7bEVm000061,-0.279508874,0.40581944,0.823734319,0.313361742,0.347114088,0.94442722,-0.212781606,0.527641806,0.997835001
Dapma7bEVm000062,-0.127119703,0.523758407,0.884361914,0.046567094,0.814485089,0.995280907,-0.228676748,0.253426464,0.997835001
Dapma7bEVm000063,0.900569254,0.025522979,0.242953638,0.601346247,0.135979785,0.832203383,0.026086944,0.948799827,0.998544574
Dapma7bEVm000064,0.229306321,0.196172115,0.653395186,0.44154874,0.012551685,0.37933098,0.003760086,0.983153641,0.999369764
Dapma7bEVm000065,0.665066734,4.18E-05,0.001986107,0.436646328,0.007122915,0.287823019,0.803216789,7.66E-07,0.000365693
Dapma7bEVm000066,-0.009479403,0.993114707,0.99836826,0.973729922,0.374835244,0.94908951,-0.260017991,0.813022702,0.998544574
Dapma7bEVm000067,-0.286088181,0.079128757,0.450726724,-0.131967747,0.416061565,0.952985701,-0.277940505,0.088828566,0.873475793
Dapma7bEVm000068,-0.318423591,0.076564396,0.444091701,-0.275235852,0.12478446,0.826798056,-0.017495908,0.922406326,0.998544574
Dapma7bEVm000069,-0.35355745,0.093280023,0.488199873,-0.277313196,0.186621623,0.877495148,-0.197265835,0.349305368,0.997835001
Dapma7bEVm000070,-0.758322765,0.219873973,NA,-1.971926407,0.001833269,0.139706099,-0.395154339,0.521468416,0.997835001
Dapma7bEVm000071,0.435917514,0.297188439,0.749577242,0.267502904,0.522267058,0.968475807,0.643970477,0.123552329,0.93071155
Dapma7bEVm000072,0.267895373,0.58136597,0.904440526,0.009653781,0.984148993,0.999771496,0.575959173,0.235419198,0.997835001
Dapma7bEVm000073,-1.557050828,1.43E-08,1.84E-06,-0.724800481,0.006694495,0.277967088,-0.475444939,0.076353675,0.851180071
Dapma7bEVm000074,0.596563995,0.235821217,0.696307663,0.673755202,0.180408701,0.871547321,-0.254699587,0.613634247,0.997835001
Dapma7bEVm000075,0.063252361,0.72431075,0.945198333,0.228509229,0.202161315,0.883183547,-0.225743726,0.208837016,0.990920917
Dapma7bEVm000076,-0.276523075,0.160368449,0.606279655,-0.284162331,0.148212275,0.845416249,-0.502845331,0.011088313,0.46892466
Dapma7bEVm000077,-0.262457452,0.22733647,0.689631121,-0.114773505,0.597114963,0.977416671,-0.37041315,0.088799296,0.873475793
Dapma7bEVm000078,-0.020979681,0.927993434,0.986659686,-0.149515622,0.519240338,0.967551654,-0.267875443,0.250222985,0.997835001
Dapma7bEVm000079,0.000805309,0.99621314,0.999022984,0.095829805,0.570669822,0.971159653,0.129261421,0.446619021,0.997835001
Dapma7bEVm000080,0.078901267,0.687851986,0.936879065,-0.004747816,0.980699283,0.99935476,-0.358921166,0.068573586,0.833184586
Dapma7bEVm000081,0.619537903,0.01483677,0.17511916,0.321874791,0.205641847,0.884141008,-0.114374453,0.653674602,0.997835001
Dapma7bEVm000082,-0.084726619,0.826296843,0.965772028,0.253281189,0.511236792,0.96749809,-0.093320014,0.809126301,0.998544574
Dapma7bEVm000083,-0.237970269,0.700123125,0.940586474,0.895647253,0.145637021,0.84429394,-0.825854856,0.183301244,0.970982937
Dapma7bEVm000084,-0.174202521,0.667002952,0.930648564,0.094906298,0.81328581,0.995280907,-0.242026202,0.551970434,0.997835001
Dapma7bEVm000085,-0.067163228,0.830343098,0.966225934,0.291926272,0.350275193,0.945049007,-0.226582166,0.470883251,0.997835001
Dapma7bEVm000086,-0.162392555,0.759842671,NA,0.246848543,0.638800901,0.984108345,-0.063239965,0.905421577,0.998544574
Dapma7bEVm000087,0.271095745,0.099993717,0.509169158,0.18149465,0.270507654,0.921222436,0.250840991,0.128402987,0.933200618
